_id,title,release,duration,gerne,IMDB_Rating,rating,overview,metaScore,director,stars,noOfVotes,createdAt,updatedAt
625c2dc1f0a5bc6c426c0c4c,Kingsman: The Secret Service,2014,129 min,"Action, Adventure, Comedy",7.7,2.5981185253792383,"A spy organisation recruits a promising street kid into the agency's training program, while a global threat emerges from a twisted tech genius.",60.0,Matthew Vaughn,"['Colin Firth', 'Taron Egerton', 'Samuel L. Jackson', 'Michael Caine']",590440,2022-04-17 15:09:53.456,2022-04-17 15:09:53.456
625c2d37f0a5bc6c426c0ac0,The Blues Brothers,1980,133 min,"Action, Adventure, Comedy",7.9,0.9349747490413451,"Jake Blues, just released from prison, puts together his old band to save the Catholic home where he and his brother Elwood were raised.",60.0,John Landis,"['John Belushi', 'Dan Aykroyd', 'Cab Calloway', 'John Candy']",183182,2022-04-17 15:07:35.816,2022-04-17 15:07:35.816
625c2e0bf0a5bc6c426c0d86,Guardians of the Galaxy Vol. 2,2017,136 min,"Action, Adventure, Comedy",7.6,2.858875804528218,"The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego.",67.0,James Gunn,"['Chris Pratt', 'Zoe Saldana', 'Dave Bautista', 'Vin Diesel']",569974,2022-04-17 15:11:07.575,2022-04-17 15:11:07.575
625c2c84f0a5bc6c426c093e,Guardians of the Galaxy,2014,121 min,"Action, Adventure, Comedy",8.0,3.1728653236542117,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,76.0,James Gunn,"['Chris Pratt', 'Vin Diesel', 'Bradley Cooper', 'Zoe Saldana']",1043455,2022-04-17 15:04:36.055,2022-04-17 15:04:36.055
625c2cb9f0a5bc6c426c0950,Deadpool,2016,108 min,"Action, Adventure, Comedy",8.0,4.646334413776728,"A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.",65.0,Tim Miller,"['Ryan Reynolds', 'Morena Baccarin', 'T.J. Miller', 'Ed Skrein']",902669,2022-04-17 15:05:29.069,2022-04-17 15:05:29.069
625c2c07f0a5bc6c426c07fa,Sholay,1975,204 min,"Action, Adventure, Comedy",8.2,0.8899052011239472,"After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit.",,Ramesh Sippy,"['Sanjeev Kumar', 'Dharmendra', 'Amitabh Bachchan', 'Amjad Khan']",51284,2022-04-17 15:02:31.907,2022-04-17 15:02:31.907
625c2c7df0a5bc6c426c0922,Bajrangi Bhaijaan,2015,163 min,"Action, Adventure, Comedy",8.0,2.235017702076113,An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.,,Kabir Khan,"['Salman Khan', 'Harshaali Malhotra', 'Nawazuddin Siddiqui', 'Kareena Kapoor']",72245,2022-04-17 15:04:29.180,2022-04-17 15:04:29.180
625c2cfef0a5bc6c426c0a4a,Thor: Ragnarok,2017,130 min,"Action, Adventure, Comedy",7.9,1.7000491815044871,"Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",74.0,Taika Waititi,"['Chris Hemsworth', 'Tom Hiddleston', 'Cate Blanchett', 'Mark Ruffalo']",587775,2022-04-17 15:06:38.740,2022-04-17 15:06:38.740
625c2db8f0a5bc6c426c0c3c,Deadpool 2,2018,119 min,"Action, Adventure, Comedy",7.7,4.562841087898405,"Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool), brings together a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable.",66.0,David Leitch,"['Ryan Reynolds', 'Josh Brolin', 'Morena Baccarin', 'Julian Dennison']",478586,2022-04-17 15:09:44.575,2022-04-17 15:09:44.575
625c2cc0f0a5bc6c426c0962,The Avengers,2012,143 min,"Action, Adventure, Sci-Fi",8.0,3.8684126650183606,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,69.0,Joss Whedon,"['Robert Downey Jr.', 'Chris Evans', 'Scarlett Johansson', 'Jeremy Renner']",1260806,2022-04-17 15:05:36.693,2022-04-17 15:05:36.693
