_id,title,release,duration,gerne,IMDB_Rating,rating,overview,metaScore,director,stars,noOfVotes,createdAt,updatedAt
625c2d54f0a5bc6c426c0b1e,M.S. Dhoni: The Untold Story,2016,184 min,"Biography, Drama, Sport",7.8,2.9895619449027633,The untold story of Mahendra Singh Dhoni's journey from ticket collector to trophy collector - the world-cup-winning captain of the Indian Cricket Team.,,Neeraj Pandey,"['Sushant Singh Rajput', 'Kiara Advani', 'Anupam Kher', 'Disha Patani']",40416,2022-04-17 15:08:04.563,2022-04-17 15:08:04.563
625c2e19f0a5bc6c426c0dbe,The Blind Side,2009,129 min,"Biography, Drama, Sport",7.6,3.893503320149263,"The story of Michael Oher, a homeless and traumatized boy who became an All-American football player and first-round NFL draft pick with the help of a caring woman and her family.",53.0,John Lee Hancock,"['Quinton Aaron', 'Sandra Bullock', 'Tim McGraw', 'Jae Head']",293266,2022-04-17 15:11:21.099,2022-04-17 15:11:21.099
625c2d66f0a5bc6c426c0b64,The Fighter,2010,116 min,"Biography, Drama, Sport",7.8,2.228873821022004,"Based on the story of Micky Ward, a fledgling boxer who tries to escape the shadow of his more famous but troubled older boxing brother and get his own shot at greatness.",79.0,David O. Russell,"['Mark Wahlberg', 'Christian Bale', 'Amy Adams', 'Melissa Leo']",340584,2022-04-17 15:08:22.584,2022-04-17 15:08:22.584
625c2be6f0a5bc6c426c07ae,Bhaag Milkha Bhaag,2013,186 min,"Biography, Drama, Sport",8.2,4.326849623869634,The truth behind the ascension of Milkha Singh who was scarred because of the India-Pakistan partition.,,Rakeysh Omprakash Mehra,"['Farhan Akhtar', 'Sonam Kapoor', 'Pawan Malhotra', 'Art Malik']",61137,2022-04-17 15:01:58.488,2022-04-17 15:01:58.488
625c2d81f0a5bc6c426c0b88,The World's Fastest Indian,2005,127 min,"Biography, Drama, Sport",7.8,2.660029036287007,"The story of New Zealander Burt Munro, who spent years rebuilding a 1920 Indian motorcycle, which helped him set the land speed world record at Utah's Bonneville Salt Flats in 1967.",68.0,Roger Donaldson,"['Anthony Hopkins', 'Diane Ladd', 'Iain Rea', 'Tessa Mitchell']",51980,2022-04-17 15:08:49.391,2022-04-17 15:08:49.391
625c2d89f0a5bc6c426c0ba0,Remember the Titans,2000,113 min,"Biography, Drama, Sport",7.8,4.258543399375703,The true story of a newly appointed African-American coach and his high school team on their first season as a racially integrated unit.,48.0,Boaz Yakin,"['Denzel Washington', 'Will Patton', 'Wood Harris', 'Ryan Hurst']",198089,2022-04-17 15:08:57.463,2022-04-17 15:08:57.463
625c2c04f0a5bc6c426c07f2,Raging Bull,1980,129 min,"Biography, Drama, Sport",8.2,3.4701347707083716,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",89.0,Martin Scorsese,"['Robert De Niro', 'Cathy Moriarty', 'Joe Pesci', 'Frank Vincent']",321860,2022-04-17 15:02:28.589,2022-04-17 15:02:28.589
625c2e2cf0a5bc6c426c0e08,The Hurricane,1999,146 min,"Biography, Drama, Sport",7.6,0.8635636846535011,"The story of Rubin 'Hurricane' Carter, a boxer wrongly imprisoned for murder, and the people who aided in his fight to prove his innocence.",74.0,Norman Jewison,"['Denzel Washington', 'Vicellous Shannon', 'Deborah Kara Unger', 'Liev Schreiber']",91557,2022-04-17 15:11:40.233,2022-04-17 15:11:40.233
625c2c2cf0a5bc6c426c084c,Spotlight,2015,129 min,"Biography, Crime, Drama",8.1,3.2704524436781335,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",93.0,Tom McCarthy,"['Mark Ruffalo', 'Michael Keaton', 'Rachel McAdams', 'Liev Schreiber']",420316,2022-04-17 15:03:08.199,2022-04-17 15:03:08.199
625c2dfaf0a5bc6c426c0d3a,Serpico,1973,130 min,"Biography, Crime, Drama",7.7,1.064349282245547,An honest New York cop named Frank Serpico blows the whistle on rampant corruption in the force only to have his comrades turn against him.,87.0,Sidney Lumet,"['Al Pacino', 'John Randolph', 'Jack Kehoe', 'Biff McGuire']",109941,2022-04-17 15:10:50.613,2022-04-17 15:10:50.613
